,Titles,Year,Model,Make,Colour,Style,Condition,Price,Mileages,Dealer,City,Province,Posting Link,Image Link
0,"Used 2022 Hyundai Elantra Preferred | One-Owner for sale in Etobicoke, ON",2022,2022 Hyundai Elantra,Hyundai,White,Sedan,Used,24800,29920.0,World Fine Cars,Etobicoke,ON,https://www.carpages.ca/used-cars/ontario/etobicoke/2022-hyundai-elantra-10797441/,https://images.carpages.ca/inventory/10797441.388062051?w=320&h=240&q=75&s=6adb1b224808bd323d87c30fa8b95980
1,"Used 2021 Hyundai Elantra PREFERRED | Sunroof | BSM | Heated Seats | CarPlay for sale in Toronto, ON",2021,2021 Hyundai Elantra,Hyundai,White,Sedan,Used,24850,83000.0,AUTORAMA,Toronto,ON,https://www.carpages.ca/used-cars/ontario/toronto/2021-hyundai-elantra-10797438/,https://images.carpages.ca/inventory/10797438.388062171?w=320&h=240&q=75&s=71cc976b83005f7e7a2aaf58c6dbd3d7
2,"Used 2019 Chevrolet Bolt EV Premier Accident Free | Low KM for sale in Surrey, BC",2019,2019 Chevrolet Bolt,Chevrolet,Black,Sedan,Used,30980,72281.0,Langley Chrysler,Surrey,BC,https://www.carpages.ca/used-cars/british-columbia/surrey/2019-chevrolet-bolt-10797417/,https://images.carpages.ca/inventory/10797417.388061739?w=320&h=240&q=75&s=6562e0640d63460da7e4369ffe0139a9
3,"Used 2020 Volkswagen Jetta Comfortline Low KM | Bluetooth for sale in Surrey, BC",2020,2020 Volkswagen Jetta,Volkswagen,Silver,Sedan,Used,23885,63301.0,Langley Chrysler,Surrey,BC,https://www.carpages.ca/used-cars/british-columbia/surrey/2020-volkswagen-jetta-10797414/,https://images.carpages.ca/inventory/10797414.388061736?w=320&h=240&q=75&s=627b6ca3aad585576e6671268f3ed463
4,"Used 2018 Chevrolet Cruze LT AUTO for sale in Saskatoon, SK",2018,2018 Chevrolet Cruze,Chevrolet,Silver,Sedan,Used,1,83001.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-chevrolet-cruze-10797375/,https://images.carpages.ca/inventory/10797375.388061586?w=320&h=240&q=75&s=661caf6208b64e099160a7463a295009
5,"Used 2019 Chevrolet Impala 2LZ for sale in Saskatoon, SK",2019,2019 Chevrolet Impala,Chevrolet,Red,Sedan,Used,24995,138253.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2019-chevrolet-impala-10797273/,https://images.carpages.ca/inventory/10797273.388061541?w=320&h=240&q=75&s=72bb8309bfb21733abcde6b3ddbe0cf0
6,"Used 2015 Chrysler 200 C for sale in Saskatoon, SK",2015,2015 Chrysler 200,Chrysler,Silver,Sedan,Used,1,,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2015-chrysler-200-10797168/,https://images.carpages.ca/inventory/10797168.388061469?w=320&h=240&q=75&s=13e5f6c44d94c3ee6af76e862d73b16b
7,"Used 2021 Nissan Sentra SV for sale in Saskatoon, SK",2021,2021 Nissan Sentra,Nissan,Black,Sedan,Used,27995,95451.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-nissan-sentra-10797153/,https://images.carpages.ca/inventory/10797153.388061460?w=320&h=240&q=75&s=e6911bb07098ed7bc51d0cd7a2c67927
8,"Used 2021 Toyota Corolla LE for sale in Saskatoon, SK",2021,2021 Toyota Corolla,Toyota,Blue,Sedan,Used,30995,84628.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-toyota-corolla-10797108/,https://images.carpages.ca/inventory/10797108.388061430?w=320&h=240&q=75&s=78c4ffed43a47d5a9ce8ac2915a790d2
9,"Used 2021 Toyota Corolla LE for sale in Saskatoon, SK",2021,2021 Toyota Corolla,Toyota,White,Sedan,Used,29500,68247.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-toyota-corolla-10797105/,https://images.carpages.ca/inventory/10797105.388061427?w=320&h=240&q=75&s=e66e865432d1368b74c7484a5f8608f5
10,"Used 2021 Chevrolet Malibu LT for sale in Saskatoon, SK",2021,2021 Chevrolet Malibu,Chevrolet,White,Sedan,Used,1,70791.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-chevrolet-malibu-10797072/,https://images.carpages.ca/inventory/10797072.388061409?w=320&h=240&q=75&s=857b25a87b00a612bb07b2d040a2eb77
11,"Used 2021 Kia Forte LX - Low Mileage for sale in Saskatoon, SK",2021,2021 Kia Forte,Kia,White,Sedan,Used,28995,29433.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-kia-forte-10797066/,https://images.carpages.ca/inventory/10797066.388061406?w=320&h=240&q=75&s=1277134ea51ed13f104e87902f9ba70c
12,"Used 2018 Mazda MAZDA3 GX - Low Mileage for sale in Saskatoon, SK",2018,2018 Mazda MAZDA3,Mazda,Silver,Sedan,Used,21995,52998.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-mazda-mazda3-10797057/,https://images.carpages.ca/inventory/10797057.388061400?w=320&h=240&q=75&s=6b291aed2541efedb061ed95c70bd760
13,"Used 2017 Buick Verano  for sale in Saskatoon, SK",2017,2017 Buick Verano,Buick,White,Sedan,Used,15995,156120.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2017-buick-verano-10797036/,https://images.carpages.ca/inventory/10797036.388061391?w=320&h=240&q=75&s=9a46cc328ad4fe3fc28f71431775abdf
14,"Used 2018 Hyundai Elantra GL for sale in Saskatoon, SK",2018,2018 Hyundai Elantra,Hyundai,White,Sedan,Used,21995,108813.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-hyundai-elantra-10796955/,https://images.carpages.ca/inventory/10796955.388061331?w=320&h=240&q=75&s=e7a18fca173d812e6a6c8900d356278b
15,"Used 2018 Kia Forte LX for sale in Saskatoon, SK",2018,2018 Kia Forte,Kia,Black,Sedan,Used,19995,61434.0,Village Auto Sales,Saskatoon,SK,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2018-kia-forte-10796946/,https://images.carpages.ca/inventory/10796946.388061325?w=320&h=240&q=75&s=9e824e135ff1121f676ef53b8759a0c7
16,"New 2024 Volkswagen Jetta comfortline for sale in Surrey, BC",2024,2024 Volkswagen Jetta,Volkswagen,Black,Sedan,New,34145,20.0,White Rock Volkswagen,Surrey,BC,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-volkswagen-jetta-10796883/,https://images.carpages.ca/inventory/10796883.388061124?w=320&h=240&q=75&s=0a27f7fed75107db30895e899d369f85
17,"Used 2021 Hyundai Elantra PREFERRED | LaneDep | BSM | Heated Seats | CarPlay for sale in Toronto, ON",2021,2021 Hyundai Elantra,Hyundai,White,Sedan,Used,23850,79000.0,AUTORAMA,Toronto,ON,https://www.carpages.ca/used-cars/ontario/toronto/2021-hyundai-elantra-10796874/,https://images.carpages.ca/inventory/10796874.388061682?w=320&h=240&q=75&s=0d8b65cff84eaf2609a4ebd0ecf7cf31
18,"Used 2016 Hyundai Elantra GL for sale in Cambridge, ON",2016,2016 Hyundai Elantra,Hyundai,Red,Sedan,Used,15900,98212.0,Groh Motors Ltd.,Cambridge,ON,https://www.carpages.ca/used-cars/ontario/cambridge/2016-hyundai-elantra-10796817/,https://images.carpages.ca/inventory/10796817.388060443?w=320&h=240&q=75&s=cf959896f990ba83e2ddec6ad601aaf4
19,"Used 2012 Honda Civic 4dr Auto LX for sale in North York, ON",2012,2012 Honda Civic,Honda,Silver,Sedan,Used,10950,128000.0,Antepli Cars,North York,ON,https://www.carpages.ca/used-cars/ontario/north-york/2012-honda-civic-10796799/,https://images.carpages.ca/inventory/10796799.388059981?w=320&h=240&q=75&s=a933271df9159b05d1fc7abd02593578
20,"Used 2009 Hyundai Elantra GLS for sale in Winnipeg, MB",2009,2009 Hyundai Elantra,Hyundai,Charcoal,Sedan,Used,8950,157000.0,Westside Sales,Winnipeg,MB,https://www.carpages.ca/used-cars/manitoba/winnipeg/2009-hyundai-elantra-10796793/,https://images.carpages.ca/inventory/10796793.388059906?w=320&h=240&q=75&s=4c532e8f9c3ed9fd7475982d55b65176
21,"Used 2021 Hyundai Elantra Preferred IVT w/Sun & Tech Package for sale in Brampton, ON",2021,2021 Hyundai Elantra,Hyundai,Black,Sedan,Used,22900,75600.0,#9 Auto Sales,Brampton,ON,https://www.carpages.ca/used-cars/ontario/brampton/2021-hyundai-elantra-10796769/,https://images.carpages.ca/inventory/10796769.388059573?w=320&h=240&q=75&s=12a6760096285962d5fd6bc6c60fa374
22,"Used 2013 Toyota Corolla 4DR SDN AUTO LE for sale in Guelph, ON",2013,2013 Toyota Corolla,Toyota,Gray,Sedan,Used,13995,122223.0,Linwood Auto Sales,Guelph,ON,https://www.carpages.ca/used-cars/ontario/guelph/2013-toyota-corolla-10796751/,https://images.carpages.ca/inventory/10796751.388059117?w=320&h=240&q=75&s=94534880f6b6bbeab611d33658a4ce97
23,"Used 2015 BMW 3 Series 320i xDrive/AWD/SUNROOF/LEATHER/BLUE/CERTIFIED for sale in Toronto, ON",2015,2015 BMW 3 Series,BMW,White,Sedan,Used,15999,139534.0,Lets Do This Auto Sales Inc.,Toronto,ON,https://www.carpages.ca/used-cars/ontario/toronto/2015-bmw-3-series-10796727/,https://images.carpages.ca/inventory/10796727.388059000?w=320&h=240&q=75&s=45831878691790654571ef9cfb0eff72
24,"Used 2014 Volkswagen Passat COMFORTLINE for sale in Milton, ON",2014,2014 Volkswagen Passat,Volkswagen,White,Sedan,Used,12950,141352.0,Reliance Auto Inc,Milton,ON,https://www.carpages.ca/used-cars/ontario/milton/2014-volkswagen-passat-10796718/,https://images.carpages.ca/inventory/10796718.388058742?w=320&h=240&q=75&s=ac72c1cacd04995ada2e8f2e756e3ca5
25,Used 2009 Ford Focus ,2009,2009 Ford Focus,Ford,Black,Sedan,Used,7999,130997.0,Kelly and Sons Auto,Ajax,ON,https://www.carpages.ca/used-cars/ontario/ajax/2009-ford-focus-10796667/,https://images.carpages.ca/inventory/10796667.388056960?w=320&h=240&q=75&s=205a48fd52aaceeeeaeff9be5a571c6b
26,"Used 2021 Hyundai Elantra Preferred IVT w/Sun & Tech Package for sale in Brampton, ON",2021,2021 Hyundai Elantra,Hyundai,Black,Sedan,Used,22900,75700.0,#9 Auto Sales,Brampton,ON,https://www.carpages.ca/used-cars/ontario/brampton/2021-hyundai-elantra-10796664/,https://images.carpages.ca/inventory/10796664.388056645?w=320&h=240&q=75&s=80e42c83f47b200cde5f6b77f4aa29c3
27,"Used 2021 Kia Forte EX  No Accident Sunroof Carplay Blindspot for sale in Mississauga, ON",2021,2021 Kia Forte,Kia,Grey,Sedan,Used,19995,83459.0,Tabangi Motors,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2021-kia-forte-10796475/,https://images.carpages.ca/inventory/10796475.388042110?w=320&h=240&q=75&s=1e097b2f76758b26e574e65aa54867d6
28,"Used 2020 Audi A3 No Accident Sunroof Carplay Push Start for sale in Mississauga, ON",2020,2020 Audi A3,Audi,White,Sedan,Used,29995,31288.0,Tabangi Motors,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2020-audi-a3-10796460/,https://images.carpages.ca/inventory/10796460.388041108?w=320&h=240&q=75&s=10792669fe933e7416d639ee8efde820
29,"Used 2022 Volkswagen Passat Limited Edition  Sunroof Carplay Blindspot for sale in Mississauga, ON",2022,2022 Volkswagen Passat,Volkswagen,Black,Sedan,Used,27995,59736.0,Tabangi Motors,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2022-volkswagen-passat-10796445/,https://images.carpages.ca/inventory/10796445.388040553?w=320&h=240&q=75&s=dea72b102b34bd93d6e0dd352a613c7f
30,"Used 2019 BMW 3 Series 330i xDrive   No Accident 360CAM Driver Assist Carplay for sale in Mississauga, ON",2019,2019 BMW 3 Series,BMW,Grey,Sedan,Used,36995,57749.0,Tabangi Motors,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2019-bmw-3-series-10796442/,https://images.carpages.ca/inventory/10796442.388040310?w=320&h=240&q=75&s=13047f3824ab78fe294e8e92f14a449c
31,"Used 2019 Audi A3 No Accident Sunroof Carplay Heated Seats for sale in Mississauga, ON",2019,2019 Audi A3,Audi,White,Sedan,Used,26995,70875.0,Tabangi Motors,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2019-audi-a3-10796439/,https://images.carpages.ca/inventory/10796439.388040091?w=320&h=240&q=75&s=a18360fd97df6007edbb842d2a300958
32,"Used 2021 Tesla Model 3 Standard Range Plus  No Accident White Leather Autopilot for sale in Mississauga, ON",2021,2021 Tesla Model 3,Tesla,Red,Sedan,Used,41995,27810.0,Tabangi Motors,Mississauga,ON,https://www.carpages.ca/used-cars/ontario/mississauga/2021-tesla-model-3-10796433/,https://images.carpages.ca/inventory/10796433.388039461?w=320&h=240&q=75&s=ff17f7ff447e6798fc24a57f23430a89
33,"Used 2012 Hyundai Sonata Limited at for sale in Burnaby, BC",2012,2012 Hyundai Sonata,Hyundai,,Sedan,Used,10980,141620.0,OpenRoad Honda Burnaby,Burnaby,BC,https://www.carpages.ca/used-cars/british-columbia/burnaby/2012-hyundai-sonata-10796379/,https://images.carpages.ca/inventory/10796379.388034655?w=320&h=240&q=75&s=489cc6918280227cb9d88448344382d9
34,"Used 2020 Toyota Corolla 4-door Sedan SE CVT for sale in Richmond, BC",2020,2020 Toyota Corolla,Toyota,Silver,Sedan,Used,25995,36199.0,OpenRoad Toyota Richmond,Richmond,BC,https://www.carpages.ca/used-cars/british-columbia/richmond/2020-toyota-corolla-10796364/,https://images.carpages.ca/inventory/10796364.388031223?w=320&h=240&q=75&s=847db8e2da8f1101c206f804452de56e
35,"Used 2023 Toyota Camry SE AWD for sale in Richmond, BC",2023,2023 Toyota Camry,Toyota,Midnight Black (Met),Sedan,Used,34999,1631.0,OpenRoad Toyota Richmond,Richmond,BC,https://www.carpages.ca/used-cars/british-columbia/richmond/2023-toyota-camry-10796343/,https://images.carpages.ca/inventory/10796343.388029915?w=320&h=240&q=75&s=d1b9c1cec0daa195a9bacdbbfdfac591
36,"Used 2018 Honda Civic SEDAN Si for sale in Cayuga, ON",2018,2018 Honda Civic,Honda,Red,Sedan,Used,19495,163120.0,Haldimand Motors Ltd.,Cayuga,ON,https://www.carpages.ca/used-cars/ontario/cayuga/2018-honda-civic-10796331/,https://images.carpages.ca/inventory/10796331.388029792?w=320&h=240&q=75&s=ffd007d5a3ca5d13bd4821d7a1ac49e7
37,"Used 2017 Volkswagen Jetta WE APPROVE ALL CREDIT for sale in London, ON",2017,2017 Volkswagen Jetta,Volkswagen,White,Sedan,Used,12800,213000.0,Redline Auto Sales,London,ON,https://www.carpages.ca/used-cars/ontario/london/2017-volkswagen-jetta-10796166/,https://images.carpages.ca/inventory/10796166.388017624?w=320&h=240&q=75&s=0a06bef30d0d323992a19ce8f535890b
38,"Used 2010 Chrysler 300 AS IS. WE APPROVE ALL CREDIT for sale in London, ON",2010,2010 Chrysler 300,Chrysler,Grey,Sedan,Used,4800,148000.0,Redline Auto Sales,London,ON,https://www.carpages.ca/used-cars/ontario/london/2010-chrysler-300-10796163/,https://images.carpages.ca/inventory/10796163.388017540?w=320&h=240&q=75&s=f507a8e852d126319b9620a183ae6a7c
39,"Used 2019 Honda Civic SEDAN LX for sale in Port Moody, BC",2019,2019 Honda Civic,Honda,Silver,Sedan,Used,23400,56035.0,Westwood Honda,Port Moody,BC,https://www.carpages.ca/used-cars/british-columbia/port-moody/2019-honda-civic-10796121/,https://images.carpages.ca/inventory/10796121.388016457?w=320&h=240&q=75&s=a7f043512b620cf1a2f0c1bd4e55e56f
40,"Used 2018 Chevrolet Cruze LT BACKUP CAMERA BLINDSPOT DETECTION BLUETOOTH for sale in Calgary, AB",2018,2018 Chevrolet Cruze,Chevrolet,,Sedan,Used,15988,136986.0,Auto House,Calgary,AB,https://www.carpages.ca/used-cars/alberta/calgary/2018-chevrolet-cruze-10795962/,https://images.carpages.ca/inventory/10795962.388012122?w=320&h=240&q=75&s=7f3a674098cad559ae30113aade1918b
41,"Used 2009 Honda Civic EXL for sale in Calgary, AB",2009,2009 Honda Civic,Honda,,Sedan,Used,7488,274752.0,Auto House,Calgary,AB,https://www.carpages.ca/used-cars/alberta/calgary/2009-honda-civic-10795899/,https://images.carpages.ca/inventory/10795899.388011087?w=320&h=240&q=75&s=c2985c485fce5d3d5b04fe4690d15564
42,"Used 2009 Pontiac G6 *** AS-IS SALE *** YOU CERTIFY & YOU SAVE!!! *** Keyless Entry * Power Locks/Windows/Side View Mirrors * Traction Control * AM/FM/CD/AUX * for sale in Cambridge, ON",2009,2009 Pontiac G6,Pontiac,Gray,Sedan,Used,1300,311532.0,Eagle Auto Mall,Cambridge,ON,https://www.carpages.ca/used-cars/ontario/cambridge/2009-pontiac-g6-10795611/,https://images.carpages.ca/inventory/10795611.388002759?w=320&h=240&q=75&s=d87e3c2eceae0743ae11b2e878dc3797
43,"Used 2020 Hyundai Elantra Luxury Leather, Sunroof, CarPlay+Android, Rear Camera, Heated Seats+Steering & Much More! for sale in Guelph, ON",2020,2020 Hyundai Elantra,Hyundai,Iron Gray,Sedan,Used,23888,50000.0,Mark Wilson's Better Used Cars,Guelph,ON,https://www.carpages.ca/used-cars/ontario/guelph/2020-hyundai-elantra-10795527/,https://images.carpages.ca/inventory/10795527.387996963?w=320&h=240&q=75&s=63eaa4e28ec32a1d2022558021001d31
44,"Used 2017 Chevrolet Malibu GREAT KM'S LS-EDITION 5 PASSENGER 1.5L - DOHC.. TOUCH SCREEN DISPLAY.. BACK-UP CAMERA.. BLUETOOTH SYSTEM.. KEYLESS ENTRY.. for sale in Bradford, ON",2017,2017 Chevrolet Malibu,Chevrolet,White,Sedan,Used,17995,37000.0,Broadway Auto Sales,Bradford,ON,https://www.carpages.ca/used-cars/ontario/bradford/2017-chevrolet-malibu-10795482/,https://images.carpages.ca/inventory/10795482.387995022?w=320&h=240&q=75&s=fb051558ba5b4cbaad63711f2ef1cd34
45,"Used 2016 Honda Civic SEDAN LX for sale in Sudbury, ON",2016,2016 Honda Civic,Honda,Modern Steel Metallic,Sedan,Used,17743,115140.0,Palladino Honda,Sudbury,ON,https://www.carpages.ca/used-cars/ontario/sudbury/2016-honda-civic-10795395/,https://images.carpages.ca/inventory/10795395.387991206?w=320&h=240&q=75&s=06efb9c5f5ae069aa28078738f1ea7a2
46,"Used 2020 Hyundai Ioniq Hybrid Preferred TOIT*B-ZONE*CRUISE*CAMÉRA* for sale in Québec, QC",2020,2020 Hyundai Ioniq Hybrid,Hyundai,Bleu,Sedan,Used,26127,59103.0,Kia Val-Bélair,Québec,QC,https://www.carpages.ca/used-cars/quebec/quebec/2020-hyundai-ioniq-hybrid-10795263/,https://images.carpages.ca/inventory/10795263.387988704?w=320&h=240&q=75&s=6ab67a1a698da4b1c0406dc9d81189d9
47,"Used 2015 Toyota Yaris LE A/C*VITRES ÉLECTRIQUES*BLUETOOTH*CRUISE* for sale in Québec, QC",2015,2015 Toyota Yaris,Toyota,Rouge,Sedan,Used,13597,95064.0,Kia Val-Bélair,Québec,QC,https://www.carpages.ca/used-cars/quebec/quebec/2015-toyota-yaris-10795251/,https://images.carpages.ca/inventory/10795251.387988455?w=320&h=240&q=75&s=e1eaea8502d41d6ec649345479d80750
48,"Used 2016 Ford F-150  for sale in Courtenay, BC",2016,2016 Ford F-150,Ford,White,Sedan,Used,24998,121400.0,Courtenay Kia,Courtenay,BC,https://www.carpages.ca/used-cars/british-columbia/courtenay/2016-ford-f-150-10795098/,https://images.carpages.ca/inventory/10795098.387978180?w=320&h=240&q=75&s=32c730ea8c13b7100f5658630b2f780f
49,"Used 2014 Mazda MAZDA3 GS-SKY for sale in Abbotsford, BC",2014,2014 Mazda MAZDA3,Mazda,,Sedan,Used,12317,187321.0,Abbotsford Chrysler,Abbotsford,BC,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2014-mazda-mazda3-10794846/,https://images.carpages.ca/inventory/10794846.387967473?w=320&h=240&q=75&s=93f2d5246855141abaabfe3d4d7b21ce
0,"Used 2019 Mazda MAZDA6 GS-L for sale in Vancouver, BC",2019,2019 Mazda MAZDA6,Mazda,Snowflake White Pearl,Sedan,Used,24995,62216.0,Destination Mazda,Vancouver,BC,https://www.carpages.ca/used-cars/british-columbia/vancouver/2019-mazda-mazda6-10794462/,https://images.carpages.ca/inventory/10794462.387957567?w=320&h=240&q=75&s=8dc512eeb32db06c006416922aaeb100
1,"Used 2018 Toyota Corolla LE for sale in Vancouver, BC",2018,2018 Toyota Corolla,Toyota,White,Sedan,Used,20995,46983.0,Destination Mazda,Vancouver,BC,https://www.carpages.ca/used-cars/british-columbia/vancouver/2018-toyota-corolla-10794459/,https://images.carpages.ca/inventory/10794459.387957360?w=320&h=240&q=75&s=fdc2058d15abe5bc279ba467eb81644c
2,"Used 2018 Mazda MAZDA6 SIGNATURE for sale in Vancouver, BC",2018,2018 Mazda MAZDA6,Mazda,Snowflake White Pearl,Sedan,Used,25995,30186.0,Destination Mazda,Vancouver,BC,https://www.carpages.ca/used-cars/british-columbia/vancouver/2018-mazda-mazda6-10794456/,https://images.carpages.ca/inventory/10794456.387957315?w=320&h=240&q=75&s=7329f02d37c4837ac67b7e40fa9df233
3,"Used 2018 Toyota Avalon LIMITED | LEATHER | SUNROOF | NAV | ONLY 41,617KM! for sale in Brantford, ON",2018,2018 Toyota Avalon,Toyota,Beige,Sedan,Used,29888,41617.0,Car Nation Canada,Brantford,ON,https://www.carpages.ca/used-cars/ontario/brantford/2018-toyota-avalon-10794414/,https://images.carpages.ca/inventory/10794414.387956895?w=320&h=240&q=75&s=a02c4234552215cb7b33592d6221e8f1
4,"Used 2013 Chevrolet Cruze EXCELLENT CONDITION MUST SEE WE FINANCE ALL CREDIT for sale in London, ON",2013,2013 Chevrolet Cruze,Chevrolet,SUMMIT WHITE,Sedan,Used,9995,167202.0,5 Star Dealer Group,London,ON,https://www.carpages.ca/used-cars/ontario/london/2013-chevrolet-cruze-10794363/,https://images.carpages.ca/inventory/10794363.387956331?w=320&h=240&q=75&s=b200b9092d8957ea098bdbd5ed36eb04
5,"Used 2014 Chevrolet Cruze SUNROOF! MINT! MUST SEE! WE FINANCE ALL CREDIT! for sale in London, ON",2014,2014 Chevrolet Cruze,Chevrolet,Black Granite Metallic,Sedan,Used,12495,142791.0,5 Star Dealer Group,London,ON,https://www.carpages.ca/used-cars/ontario/london/2014-chevrolet-cruze-10794357/,https://images.carpages.ca/inventory/10794357.387956325?w=320&h=240&q=75&s=ed1867ff135ee8bb4002dad2a55e26ea
6,"Used 2020 Nissan Sentra SR for sale in Medicine Hat, AB",2020,2020 Nissan Sentra,Nissan,ELECTRIC BLUE,Sedan,Used,21999,56081.0,Medicine Hat Nissan,Medicine Hat,AB,https://www.carpages.ca/used-cars/alberta/medicine-hat/2020-nissan-sentra-10794189/,https://images.carpages.ca/inventory/10794189.387952629?w=320&h=240&q=75&s=c3a85165d581579704e3ea9f851ae1b0
7,"Used 2019 Nissan Altima 2.5 SV for sale in Medicine Hat, AB",2019,2019 Nissan Altima,Nissan,Pearl White,Sedan,Used,22999,132.0,Medicine Hat Nissan,Medicine Hat,AB,https://www.carpages.ca/used-cars/alberta/medicine-hat/2019-nissan-altima-10794183/,https://images.carpages.ca/inventory/10794183.387952257?w=320&h=240&q=75&s=01c55649d6676649f20a614354747753
8,"Used 2020 Honda Civic Sport|Certified|HtdSeats|RmtStart|Local|Carplay for sale in Brandon, MB",2020,2020 Honda Civic,Honda,Platinum White Pearl,Sedan,Used,31995,32117.0,Forman Honda,Brandon,MB,https://www.carpages.ca/used-cars/manitoba/brandon/2020-honda-civic-10794141/,https://images.carpages.ca/inventory/10794141.387949347?w=320&h=240&q=75&s=911f36f9461b0958a293172bedfcb9cc
9,"Used 2009 Chevrolet Malibu 2LT for sale in Whitby, ON",2009,2009 Chevrolet Malibu,Chevrolet,Grey,Sedan,Used,2800,204636.0,Whitby Toyota,Whitby,ON,https://www.carpages.ca/used-cars/ontario/whitby/2009-chevrolet-malibu-10794111/,https://images.carpages.ca/inventory/10794111.387949254?w=320&h=240&q=75&s=cafa9901583f89b33751b02c75343d97
10,"Used 2016 Honda Civic Sedan EX, CARPLAY, TOIT OUVRANT, DEMARREUR DISTANCE for sale in Saint-Hubert, QC",2016,2016 Honda Civic,Honda,White Orchid Pearl,Sedan,Used,17450,115836.0,Auto Flash BFH,Saint-Hubert,QC,https://www.carpages.ca/used-cars/quebec/saint-hubert/2016-honda-civic-10794087/,https://images.carpages.ca/inventory/10794087.387948126?w=320&h=240&q=75&s=34d604c1521fbaca4ece7301ecae26db
11,"Used 2020 BMW 8 Series M850i Gran Coupe|XDRIVE|NAV|3DCAM|REDLEATHER|HUD|+ for sale in North York, ON",2020,2020 BMW 8 Series,BMW,Black,Sedan,Used,75995,55792.0,Favorit Motors,North York,ON,https://www.carpages.ca/used-cars/ontario/north-york/2020-bmw-8-series-10794051/,https://images.carpages.ca/inventory/10794051.387946443?w=320&h=240&q=75&s=fe604f40abdf0419f82b99777aeae98e
